Η αίθουσα του πανεπιστημίου,Аудитория в Университете
τα μαθήματα γίνονται,уроки проводятся
15 λεπτά με τα πόδια από την παραλία ,15 минут пешком до пляжа
Δεν χρησιμοποιώ καθόλου λάδι,я вообще не использую масло
Ο πελάτης παίρνει δωρεάν,клиент получает бесплатно
μπορεί να επιστρέψει ,может вернуть
διδάσκει κιθάρα για πρώτη φορά,впервые преподает игру на гитаре
παγκόσμια ημέρα ποδηλάτου ,всемирный день велосипеда
το μέσο μεταφοράς,транспортное средство
η καλή υγεία ,крепкое здоровье
ο δήμος της πόλης,муниципалитет города
το δημαρχείο ,мэрия
μία ομάδα αθλητών ,группа спортсменов
γιορτάζει και φέτος,в этом году снова празднует
δίνω/έδωσα/θα δώσω οδηγίες ,даю/даю/дам указания
με ασφάλεια ,"благополучно, в безопасности"
κάνω ζωγραφιές ,делаю рисунки
κερδίζω/ κέρδισα/θα κερδίσω όμορφα δώρα ,выигрываю/выиграл/выиграю красивые призы
οι δρόμοι θα είναι κλειστοί ,дороги будут закрыты
κάνω βόλτα με ποδήλατο ,я еду на велосипеде
ο αγώνας με ποδήλατα ,велогонка
μπορείτε να βρείτε πληροφορίες στην ηλεκτρονική σελίδα ,информацию можно найти на сайте
δίνω ραντεβού,я назначаю встречу
το ηλεκτρονικό μήνυμα ,электронное сообщение
το επόμενο Σάββατο ,в следующую субботу
μία εκδρομή στα βουνά,экскурсия в горы
η ανακοίνωση για την εκδρομή ,анонс на экскурсию
την προηγούμενη Κυριακή ,в прошлое воскресенье
Μια εκδρομή στην όμορφη φύση ,Экскурсия на красивую природу
Βρίσκεται μια ώρα μακριά ,Расположен в часе езды
Μπορείτε να έρθετε εύκολα ,Вы можете легко приехать
Θα περάσετε τέλεια ,Вы отлично проведете время
Μπορείτε να περπατήσετε ,Вы можете прогуляться пешком
Η βόλτα με τα άλογα στο δάσος ,Прогулка на лошадях по лесу
Το κολύμπι στην πισίνα ,Плавание в бассейне
Παίζω στο γήπεδο ,Я играю на поле
Μπορείτε να φάτε ,Вы можете поесть
Η θέα στο βουνό ,Вид на горы
Η παιδική χαρά ,Детская площадка
Μπορείτε να πιείτε ,Вы можете выпить
Το τζάκι με ξύλα ,камин с дровами
Ανοίγουμε και φέτος ,В этом году мы снова открываемся
Ο δύσκολος δρόμος ,Трудная дорога
Λειτουργεί στο κέντρο ,Он работает в центре
Το διαφορετικό τρένο για την τέχνη ,Другой поезд для искусства
Το βαγόνι- εστιατόριο ,Вагон-ресторан
Θα ακούσετε μουσική ,Вы будете слушать музыку
Θα πιείτε το ποτό ,Вы выпьете напиток
Οι θεατές μπορούν να δουν μια μουσική  παράσταση ,Зрители могут увидеть музыкальное представление
Το πάρτι για τα γενέθλια ,Вечеринка по случаю дня рождения
Επικοινωνήστε μαζί μας ,Свяжитесь с нами
Προτείνουμε έξυπνες ιδέες ,Мы предлагаем умные идеи
Δεν βρέχει και δεν φυσάει ,Не идет дождь и не дует ветер
Μπορείτε να καθίσετε ,Вы можете присесть
Μπορείτε να αφήσετε στο πάρκινγκ ,Вы можете оставить на стоянке
Η ηλεκτρονική διεύθυνση ,Адрес электронной почты
Μπορούν να μπουν ,Они могут зайти
Μπορείτε να κάνετε γιορτές ,Вы можете устраивать праздники
Μπορείτε να παρκάρετε δωρεάν ,Парковка предоставляется бесплатно
Η έκθεση γίνεται κάθε χρόνο ,Выставка проходит ежегодно
Ο κόσμος είδε και δοκίμασε ,Народ увидел и попробовал
Από πολλές χώρες ,Из многих стран
Η εκπομπή στο ραδιόφωνο ,Шоу на радио
Τηλεφωνήστε μας και πείτε μας ,Позвоните нам и расскажите
Εκείνη τη στιγμή ,В тот момент
Θα κερδίσει ένα κινητό ,Выиграет мобильный телефон
Θα ζωγραφίσουν στην αίθουσα ,Будут рисовать в зале
Θα πουν τραγούδια στην αυλή ,Они будут петь песни во дворе
Η είσοδος θα είναι δωρεάν ,Вход свободный
Τα εισιτήρια για τους ενήλικες ,Билеты для взрослых
Θα κάνουμε μια συζήτηση στο πανεπιστήμιο ,Мы проведем дискуссию в университете
Ο κτηνίατρος θα μιλήσει στους γονείς ,Ветеринар поговорит с родителями
Θα τους πει τι να προσέχουν ,"Он скажет им, чего следует остерегаться"
Θα τους δώσει συμβουλές ,Он даст им советы
Πάνω από 55 χρονών ,Старше 55 лет
Τα μαθήματα γίνονται ,Проводятся уроки
Πολύ χαμηλές τιμές ,Очень низкие цены
Ξεκινάει από τον σταθμό ,Он отъезжает от станции
Η διαδρομή διαρκεί ,Путешествие длится
Το ξένο τραγούδι ,Иностранная песня
Θα κάνει μια γιορτή το φθινόπωρο ,Устроит праздник осенью
Θα τραγουδήσουν μερικοί μαθητές ,Некоторые студенты споют
Δεν θα πληρώσει κανείς το εισιτήριο ,За билет никто платить не будет
Με λίγα χρήματα ,За небольшие деньги
Φεύγει κάθε μισή ώρα ,Уходит каждые полчаса
Κάνει τη διαδρομή σε είκοσι λεπτά ,Выполняет маршрут за двадцать минут
Τα προβλήματα με τον ύπνο ,Проблемы со сном
Προσπαθείτε να κοιμηθείτε ,Вы пытаетесь заснуть
Είστε κουρασμένοι ,Вы устали
Μην πιείτε καφέ ,Не пейте кофе
Πρέπει να προσέξετε ,Нужно быть внимательным
Μην φάτε πολύ ,Не ешьте слишком много
Προτιμήστε ,Предпочтите
Πρέπει να είστε ήρεμοι ,Вам нужно быть спокойными
Για να κοιμηθείτε εύκολα ,Чтобы вы легко заснули
Όταν νυστάξετε ,Когда вам захочется спать
Ο δυνατός φωτισμός ,Яркое освещение
Ένα καλό στρώμα και ένα καλό μαξιλάρι ,Хороший матрас и хорошая подушка
Προσέξτε το φως ,Следите за светом
Όνειρα γλυκά ,Спокойной ночи
"Δυστυχώς, δεν μπορείτε να πάτε ","К сожалению, вы не можете поехать"
Εξηγείτε πώς θα έρθει ,Объясняете как приехать
Ποιος θα τον περιμένει ,Кто его будет ждать
Τι θα κάνετε ,Что вы будете делать
Για πρώτη φορά ,Впервые
Οι δραστηριότητες ,Активности (виды деятельности)
Οι αγώνες ,Соревнования
Οι διαγωνισμοί ,Тесты
Ο διευθυντής ,Директор
Θα ταξιδέψει χωρίς παρέα ,Поедет без компании
Θέλει να δουλέψει το καλοκαίρι ,Летом он хочет работать
Μιλάει 2 ξένες γλώσσες ,Владеет 2 иностранными языками
Κάνουν πολλά ταξίδια στο εξωτερικό ,Они совершают много поездок за границу
Έμεινε 2 χρόνια σε ένα νησί ,Проживал 2 года на острове
Θα δώσει ξανά εξετάσεις ,Он будет сдавать экзамен снова
Θα σπουδάσει στο εξωτερικό ,Он будет учиться за границей
Οδηγεί λεωφορείο ,Водит автобус
Ξεκίνησε τη δουλειά φέτος ,Он приступил к работе в этом году
Έχει το ίδιο επάγγελμα ,У него такая же профессия
Πηγαίνει μερικούς μαθητές ,Она отвозит некоторых учеников
Δουλεύει συχνά ,Работает часто
Τα μαθήματα στο κολυμβητήριο ,Занятия в бассейне
Πόσο συχνά ,Как часто
Παίζουν με άλλες ομάδες ,Они играют с другими командами
Τα δωρεάν μαθήματα ,Бесплатные уроки
Τι θα πάρουν την πρώτη μέρα,Что они получат в первый день
Δουλεύω σε μια εταιρεία που φτιάχνει σπίτια στην Ελλάδα και στο εξωτερικό ,"Я работаю в компании, которая строит дома в Греции и за рубежом"
Πηγαίνουμε με τα πόδια,Идем пешком
Ανοίγω τον υπολογιστή μου ,Я включаю компьютер
Διαβάζω τα ηλεκτρονικά μηνύματα ,Я читаю электронные письма
Συναντώ καινούργιους πελάτες ,Встречаю новых клиентов
Κάνω διάλειμμα για φαγητό ,Я делаю перерыв на обед
Τρώω στο εστιατόριο ,Я ем в ресторане
Δεν έγραψα καλά εξετάσεις ,Я плохо написал экзамены
Μάλλον δεν θα περάσω στο πανεπιστήμιο ,"Я, наверное, не поступлю в университет"
Θα πάμε σε πολλές ευρωπαϊκές χώρες ,Мы поедем во многие страны Европы
Θα ψάξουμε για δουλειά ,Будем искать работу
Θα γνωρίσω καινούριους ανθρώπους και νέες χώρες ,Я познакомлюсь с новыми людьми и новыми странами
Μεταφέρω ανθρώπους ,Я перевожу людей
Μερικοί κάθονται κοντά σε μένα ,Некоторые сидят рядом со мной
Πρέπει να είμαι πολύ προσεκτική στο δρόμο ,Я должен быть очень внимателен на дороге
Η δουλειά μου έχει πολλές δυσκολίες και κινδύνους ,В моей работе много сложностей и рисков
Έχει ομίχλη και πάγο στο δρόμο ,На дороге туман и гололед
Δεν γίνεται πολύ συχνά ,Это не происходит очень часто
Οδηγώ με ασφάλεια ,Безопасное вождение
Θα ήθελα μερικές πληροφορίες ,Я хотел бы получить некоторую информацию
Σε μικρές ομάδες ,В небольших группах
Τα παιδιά έχουν αγώνες ,У детей соревнования
Πόσο κοστίζουν τα μαθήματα;,Сколько стоят курсы?
Ένας γιατρός θα εξετάσει το παιδί σας ,Врач осмотрит вашего ребенка
Πρέπει να κάνετε μια αίτηση ,Вы должны заполнить заявление
Το μαγιό και ένα ζευγάρι παντόφλες ,Купальник и тапочки
Η πετσέτα και το σκουφάκι,Полотенце и шапочка
Συγχαρητήρια ,Поздравления
Έμαθα ότι βρήκες δουλειά ,"Узнал, что ты нашёл работу"
Θα γνωρίσεις τους φίλους μου ,Ты познакомишься с моими друзьями
Μπορείς να μείνεις στο σπίτι μου τις πρώτες εβδομάδες ,Можешь остаться у меня дома первые недели
Αυτό θα σε βοηθήσει ,Это тебе поможет
Απέναντι από το ταχυδρομείο ,Напротив почты
Πήρα το πιστοποιητικό αμέσως ,Получил сертификат сразу
Κάθε μάθημα διαρκεί ,Каждый урок длится
Θα περάσουν υπέροχα ,Они прекрасно проведут время
Τα ταξίδια του Οδυσσέα ,Путешествия Одиссея
Θα δούμε το φεγγάρι με τα αστέρια στον ουρανό ,Мы увидим луну и звёзды в небе
Οι υπεύθυνοι του προγράμματος ,Ответственные за программу
Μια παιδική ταινία ,Детский фильм
Κλείστε θέση ,Забронируйте место
Θα παρατηρήσουν τον ουρανό ,Будут наблюдать за небом
Δεν δίνονται πληροφορίες ,Информация не предоставляется
Οι μαθητές δημοτικού ,Школьники начальных классов
Το παραμύθι διαβάζει ο ηθοποιός ,Сказку читает актёр
Η έκθεση λουλουδιών ,Выставка цветов
Τυλίγουνε το γλυκό ,Заворачивают сладость
Βάζουμε στο ψυγείο ,Кладём в холодильник
Ο νικητής θα κερδίσει ,Победитель выиграет
Δεν θα έχει ρεύμα ,Не будет электричества
Θα διορθώσουν τις ζημιές ,Исправят повреждения
Οι χθεσινές βροχές ,Вчерашние дожди
Η θερμοκρασία θα είναι χαμηλή ,Температура будет низкой
Έχει μέσα ολόκληρα μπισκότα ,Внутри целые печенья
Μπαίνει στον φούρνο ,Ставят в печь
Είναι για έφηβους μαθητές ,Это для подростков учеников
Προσφέρει ένα ταξίδι στον νικητή ,Предлагает поездку победителю
Θα γίνουν εργασίες ,Будут проводиться работы
Θα έχει δυνατές βροχές ,Будут сильные дожди
Έχει κάτω από 10 βαθμούς ,Температура ниже 10 градусов
Πολλοί επισκέπτες έρχονται να δουν ,Многие посетители приходят посмотреть
Οι πίνακες διάσημων ζωγράφων ,Картины знаменитых художников
Έχουν εμπειρία ,Имеют опыт
Να φέρετε το δικό σας στρώμα ,Принесите свой матрас
Τα άνετα αθλητικά ρούχα ,Удобная спортивная одежда
Μπορείτε να κάνετε την εγγραφή ,Можете зарегистрироваться
Μπορείτε να αφήσετε ,Можете оставить
Είναι πολύ διάσημος σεφ ,Очень известный шеф-повар
Αποφασίζει το μενού με τους άλλους μάγειρες ,Решает меню с другими поварами
Εργάζεται λίγες ώρες την ημέρα ,Работает несколько часов в день
Κερδίζει πολλά χρήματα ,Зарабатывает много денег
Θέλει να ανοίξει ένα μαγαζί ,Хочет открыть магазин
Θα χορέψουν πριν την παράσταση ,Будут танцевать перед представлением
Θα παίξουν παιχνίδια στην αυλή ,Будут играть в игры во дворе
Μερικοί μαθητές θα κερδίσουν δώρα ,Некоторые ученики выиграют подарки
Ατύχημα συναδέλφου ,Неудача коллеги
Πώς έσπασε το χέρι ,Как сломал руку
Ο/ η υπάλληλος στο ταξιδιωτικό γραφείο ,Сотрудник туристического агентства
Να πάρετε τα αεροπορικά εισιτήρια ,Взять авиабилеты
Θα αφήσουμε τις βαλίτσες μας ,Оставим наши чемоданы
Η ξενάγηση διαρκεί ,Экскурсия длится
Θα κάνουμε βόλτα στο ποτάμι ,Будем гулять по реке
Δούλεψα στο εστιατόριο ,Работал в ресторане
Έψαξα αμέσως για δουλειά ,Сразу искал работу
Πήγα για συνέντευξη ,Пошёл на собеседование
Έχουμε την ίδια ηλικία ,У нас одинаковый возраст
Διαλέγει τρία διαφορετικά φαγητά,Выбирает три разных блюда
Το επάγγελμα μας είναι δύσκολο ,Наша профессия сложная
Ο μισθός μου είναι πολύ καλός ,Моя зарплата очень хорошая
Η διευθύντρια του Δημοτικού σχολείου ,Директор начальной школы
Είναι η τελευταία μέρα πριν κλείσουν τα σχολεία ,Это последний день перед закрытием школ
Το κουδούνι θα χτυπήσει στις 9 ,Звонок прозвенит в 9
Θα χορέψουν διάφορους χορούς ,Будут танцевать разные танцы
Έπεσα ( πέφτω ) στο δρόμο ,Упал на дороге
Μπορείς να στείλεις ένα ηλεκτρονικό μήνυμα,Можешь отправить электронное сообщение
Πώς έμαθε τη γλώσσα ,Как он выучил язык
Βρήκε δουλειά σε ένα νοσοκομείο ,Нашел работу в больнице
Ζήτησε να δουλέψουν σε ομάδες ,Попросил работать в командах
Έκαναν ασκήσεις στον υπολογιστή ,Занимались на компьютере
Το επόμενο καλοκαίρι θα πάμε μαζί διακοπές ,Следующим летом мы поедем вместе в отпуск
Έχει έναν φίλο στο εξωτερικό ,У него есть друг за границей
Επικοινωνεί με τους φίλους του πολύ συχνά ,Общается с друзьями очень часто
Παντρεύονται σε λίγες μέρες ,Женятся через несколько дней
Θέλουν να κάνουν κάτι διαφορετικό ,Хотят сделать что-то другое
Θα ταξιδέψουν σε όλο τον κόσμο ,Будут путешествовать по всему миру
Πάνω σε ρόδες ,На колесах
Μερικές εταιρείες πουλούν έτοιμα σπιτάκια ,Некоторые компании продают готовые домики
Φτιάχνουν μόνοι τους ,Строят сами
Τα πράγματα από ξύλο ,Вещи из дерева
Μπορεί να σχεδιάσει το σπίτι ,Может спроектировать дом
Μαζεύουν χρήματα για να κάνουν μια ταινία ,Собирают деньги на съемку фильма
Ο γάμος τους θα γίνει ,Их свадьба состоится
Δεν θα ξοδέψουν πολλά χρήματα ,Не потратят много денег
Βραστό ή ψητό κρέας με κολοκυθάκια ,Вареное или жареное мясо с кабачками
2η θέση στους ευρωπαικούς αγώνες ,2-е место на европейских соревнованиях
Της εύχομαι υγεία και δύναμη ,Желаю ей здоровья и силы
Συγχαρητήρια στον προπονητή ,Поздравления тренеру
Ώρα έναρξης ,Время начала
Εισιτήρια για ανέργους ,Билеты для безработных
Η καφετέρια ανοίγει ξανά ,Кафетерий снова открывается
Στα δυο φλιτζάνια καφέ δώρο το τρίτο ,На две кружки кофе третий в подарок
Το σχολείο προσκαλεί στην εκδήλωση ,Школа приглашает на мероприятие
Ο δήμαρχος εύχεται περαστικά ,Мэр желает скорейшего выздоровления
Υπήρξε πρόβλημα με το διαδίκτυο ,Были проблемы с интернетом
Διαλέξτε το κατάλληλο κατοικίδιο ,Выберите подходящего домашнего питомца
"Χρειάζεται χρόνο, φροντίδα και χρήματα ","Требуется время, уход и деньги"
Μπορείτε να διαλέξετε ,Вы можете выбрать
Θα αλλάξετε τον τρόπο ζωής ,Вы измените свой образ жизни
Υπάρχει χώρος στο σπίτι ,В доме есть место
Ένα ειδικό κατάστημα ,Специализированный магазин
Ο/ η γραμματέας σε μια σχολή ξένων γλωσσών ,Секретарь в школе иностранных языков
Μια ανακοίνωση στην εφημερίδα ,Объявление в газете
Για να μην βάλει κιλά ,Чтобы не набирать вес
Κέρδισε την πρώτη θέση ,Занял первое место
Θα δώσει ξανά τις εξετάσεις ,Сдаст экзамены снова
Θέλει να πάρει πιο μεγάλους βαθμούς ,Хочет получить более высокие оценки
Θα σταματήσει τις σπουδές ,Бросит учебу
Ξεκίνησε σπουδές στο πανεπιστήμιο ,Начал учиться в университете
Δούλεψε χωρίς μισθό ,Работал без зарплаты
Η φωτιά ξεκίνησε ,Пожар начался
Τι αυτοκίνητο προτείνει η γραμματέας ,Какую машину рекомендует секретарь
Θα πληρώσει αμέσως,Оплатит сразу
Καταπληκτική θέα στο λιμάνι ,Потрясающий вид на порт
Αν σας αρέσει η εξοχή ,Если вам нравится природа
Μια παλιά παραδοσιακή κατοικία από πέτρα ,Старинный традиционный дом из камня
Δεν έχει αυλή ,Нет двора
Θα έχετε μια τεράστια πισίνα ,У вас будет огромный бассейн
Το μοντέρνο κτίριο ,Современное здание
Ένα διαμέρισμα στην πολυκατοικία ,Квартира в многоэтажке
Παίζει επαγγελματικά μουσική ,Профессионально занимается музыкой
Μια σχολή χορού ,Школа танцев
Πήρα το πρώτο βραβείο ,Я получил первую награду
Τα σχέδια για το μέλλον ,Планы на будущее
Μια μεγάλη γιορτή χορού ,Большой праздник танца
Ο χορευτής / η χορεύτρια ,Танцор / танцовщица
Αποφάσισα να γίνω δημοσιογράφος ,Я решил стать журналистом
Η σχολή δημοσιογραφίας ,Школа журналистики
Η δουλειά ήταν δύσκολη ,Работа была трудной
Ένα μαγαζί με ηλεκτρικές συσκευές ,Магазин электроприборов
Εργάζομαι στην τηλεόραση ,Работаю на телевидении
Έχω πολλούς συναδέλφους ,У меня много коллег
Θέλω να νοικιάσω ένα αυτοκίνητο ,Хочу арендовать автомобиль
Ο οδηγός πρέπει να είναι πάνω … χρονών ,Водитель должен быть старше … лет
Θα σας κάνει έκπτωση ,Вам сделают скидку
Μπορώ να πληρώσω με πιστωτική κάρτα/ μετρητά ,Могу заплатить кредитной картой / наличными
Ο διευθυντής του γραφείου,Директор офиса
